                XN9QL	Pityriasis Rosea virus
                XN465	Alphaherpesvirinae
                    XN42C	Mardivirus
                    XN41T	Herpes simplex virus-1
                    XN5V1	Herpes simplex virus-2
                    XN0TA	Varicella zoster virus
                    XN4P4	Iltovirus
                XN8TA	Betaherpesvirinae
                    XN3SQ	Cytomegalovirus
                    XN5FN	Muromegalovirus
                    XN1GF	Roseolavirus
                        XN9NM	Roseolavirus A
                        XN8AM	Roseolavirus B
                XN2VN	Gammaherpesvirinae
                    XN0R2	Epstein-Barr virus
                    XN7NE	Rhadinovirus
            XN487	Human immunodeficiency virus
                XN8LD	Human immunodeficiency virus type 1
                XN71W	Human immunodeficiency virus type 2
            XN8JY	Human papillomavirus
                XN2KP	Human papillomavirus 45
                XN6LA	Human papillomavirus 1
                XN2FC	Human papillomavirus 2
                XN7DE	Human papillomavirus 6
                XN7T9	Human papillomavirus 11
                XN2NK	Human papillomavirus 16
                XN97Y	Human papillomavirus 18
                XN3HA	Human papillomavirus 31
            XN1WJ	Human T-cell lymphotropic virus
            XN5SG	Influenza virus
                XN8WJ	Influenza A virus
                    XN297	Influenza A H1N1 virus
                    XN4TT	Influenza A H5N1 virus
                    XN7JR	Influenza A H5N6 virus
                    XN35G	Influenza A H7N9 virus
                    XN2J2	Influenza A H1 virus
                    XN9Z9	Influenza A H1N1v virus
                    XN3VG	Influenza A H1N2v virus
                    XN9SG	Influenza A H1N1 pdm2009 virus
                    XN3UJ	Influenza A H1pdm09N2 2:6 reassortant influenza virus
                    XN02Z	Swine influenza A H1N1 virus
                    XN16M	Influenza A H1N2 variant
                    XN79W	Influenza A H2N2 virus
                    XN8WA	Influenza A H3 virus
                    XN6WE	Influenza A H3N2 virus
                    XN476	Swine influenza A H3N2 virus
                    XN3UU	Influenza A H3N2 Panama/2007/99 virus
                    XN9HE	Influenza A H3N2 Moscow/10/99 virus
                    XN9FE	Influenza A H3N2v virus
                    XN81W	Equine influenza A H3N8 virus
                    XN6MR	Influenza A H5 virus
                    XN5DQ	Influenza A H5N2 virus
                    XN6MY	Influenza A H5N8 virus
                    XN0AS	Influenza A H6N1 virus
                    XN9GE	Influenza A H7N2 virus
                    XN2SA	Influenza A H7N2 variant
                    XN8Q3	Influenza A H7N3 virus
                    XN5WA	Influenza A H7N4 virus
                    XN8YT	Influenza A H7N7 virus
                    XN71C	Influenza A H9 virus
                    XN412	Influenza A H9N2 virus
                    XN5SY	Influenza A H10N3 virus
                    XN66Y	Influenza A H10N7 virus
                    XN0MW	Influenza A H10N8 virus
                XN8SG	Influenza B virus
                XN8U3	Influenza C virus
                XN67Q	Influenza D virus
            XN33B	Lyssavirus
                XN796	Rabies virus
            XN8R7	Orthopolyomavirus
                XN7UP	John Cunningham virus
            XN82V	Paramyxovirus
                XN98T	Henipavirus
                    XN5PM	Cedar Virus
                    XN53N	Hendra virus
                    XN931	Nipah virus
                XN513	Human metapneumovirus
                XN186	Measles virus
                XN22H	Mumps virus
                XN6CR	Parainfluenza virus
                XN4QJ	Rubulavirus
            XN7X8	Parvovirus
                XN8PS	Erythrovirus
                XN447	Bocaparvovirus
            XN8W9	Pneumovirus
                XN275	Human respiratory syncytial virus
            XN9WH	Polyomavirus
                XN0TQ	BK polyoma virus
            XN7UC	Poxvirus
                XN32K	Orthopoxvirus
                    XN3Y3	Buffalopox virus
                    XN0AU	Cowpox virus
                    XN2GM	Monkeypox virus
                        XN4L3	Monkeypox virus Clade I
                        XN1BH	Monkeypox virus Clade II
                            XN00B	Monkeypox virus Clade IIa
                            XN7VR	Monkeypox virus Clade IIb
                    XN4Q0	Variola virus
                    XN06N	Vaccinia virus
                XN1M0	Parapox virus
                    XN7JF	bovine papular stomatitis virus
                    XN8E5	Orf virus
                    XN8JR	pseudocowpox virus
                XN0CV	Yatapox virus
                    XN0K5	tanapox virus
                    XN81C	yaba monkey tumour virus
                XN5G8	Molluscipoxvirus
                    XN7YE	Molluscum contagiosum virus
            XN22T	Reovirus
            XN6FR	Retrovirus
                XN2R0	Alpharetrovirus
                XN0TH	Betaretrovirus
                XN787	Deltaretrovirus
                XN6HX	Epsilonretrovirus
                XN4K8	Gammaretrovirus
                XN5R7	Lentivirus
                XN6JB	Oncovirus
            XN6N7	Rotavirus
                XN6TN	Rotavirus A
                XN55H	Rotavirus B
                XN0F5	Rotavirus C
                XN29P	Rotavirus D
                XN71N	Rotavirus E
            XN2F7	Rubivirus
                XN2WE	Rubella virus
            XN7R4	Astrovirus
            XN6T9	Vesiculovirus
                XN2BR	Chandipura virus
                XN9XS	Vesicular stomatitis virus
        XN8AY	Fungi
            XN0WC	Aspergillus
                XN6Q9	Aspergillus clavatus
                XN6B8	Aspergillus flavus
                XN5Z7	Aspergillus fumigatus
                XN25K	Aspergillus terreus
                XN7Q2	Aspergillus niger
            XN4XX	Basidiobolus
                XN4RM	Basidiobolus ranarum
            XN08A	Blastomyces
                XN14F	Blastomyces dermatitidis
            XN3CL	Candida
                XN31P	Candida albicans
                XN72N	Candida auris
                XN0RY	Candida haemulonii
            XN066	Chromomycosis
            XN106	Chrysosporium
                XN8W1	Chrysosporium parvum
            XN7Q9	Coccidioides
                XN53F	Coccidioides immitis
                XN5TT	Coccidioides posadasii
            XN62A	Conidiobolus
                XN3KM	Conidiobolus coronatus
                XN4AQ	Conidiobolus incongruus
            XN69C	Cryptococcus
                XN0LE	Cryptococcus gattii
                XN3EH	Cryptococcus neoformans
